Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
12/18/2015,2015,12,18,†,-12.7,,-15.8,,-14.3,,32.3,,0,,,M,,M,0,,1,,35,,32,
12/19/2015,2015,12,19,†,-9.8,,-13.8,,-11.8,,29.8,,0,,,M,,M,0,,0,T,13,,33,
12/20/2015,2015,12,20,†,-10.2,,-14.2,,-12.2,,30.2,,0,,,M,,M,0,,0,T,16,,32,
12/21/2015,2015,12,21,†,-6.1,,-18.2,,-12.2,,30.2,,0,,,M,,M,0,,0,T,,,<31,
12/22/2015,2015,12,22,†,-11.9,,-20.1,,-16,,34,,0,,,M,,M,0.2,,0,T,,,<31,
12/23/2015,2015,12,23,†,-11.6,,-18.5,,-15.1,,33.1,,0,,,M,,M,0,,0,T,,,<31,
12/24/2015,2015,12,24,†,-9.8,,-23.3,,-16.6,,34.6,,0,,,M,,M,0.2,,1,,30,,32,
12/25/2015,2015,12,25,†,-19.3,,-28.2,,-23.8,,41.8,,0,,,M,,M,0.2,,2,,,,<31,
12/26/2015,2015,12,26,†,-17.4,,-26.3,,-21.9,,39.9,,0,,,M,,M,0,,1,,,,<31,
12/27/2015,2015,12,27,†,-9.8,,-22.9,,-16.4,,34.4,,0,,,M,,M,0.3,,1,,,,<31,
12/28/2015,2015,12,28,†,-9.8,,-17,,-13.4,,31.4,,0,,,M,,M,0,,2,,,,<31,
12/29/2015,2015,12,29,†,-13.6,,-17.7,,-15.7,,33.7,,0,,,M,,M,0,,2,,,,<31,
12/30/2015,2015,12,30,†,-9.6,,-18.8,,-14.2,,32.2,,0,,,M,,M,0,,2,,31,,35,
12/31/2015,2015,12,31,†,-4.3,,-15.3,,-9.8,,27.8,,0,,,M,,M,0,,2,,23,,37,
